district,state,POPULATION ,date,dose_1,dose_2,confirmed,deceased,recovered,tested
Puducherry,PY,950289,27/01/21,558708,305464,98885,1453,97171,425639
Kupwara,JK,875564,,673594,348327,14463,166,14268,429026.36
Jalgaon,MH,4224442,30/01/21,2085101,699544,139934,2714,137178,429198
Vikarabad,TG,881250,,427669,87989,0,0,0,431812.5
Kokrajhar,AS,886999,,538901,156488,0,0,0,434629.51
Thiruvananthapuram,KL,3307284,23/10/20,2578575,1562343,463977,4996,448304,436661
Shahjahanpur,UP,3002376,13/01/21,1743273,538827,20361,444,19916,437195
Nagarkurnool,TG,893308,,464888,106589,0,0,0,437720.92
Mayiladuthurai,TN,901000,,0,0,23280,316,22878,441490
Kaimur,BR,1626900,31/01/21,801438,225437,4984,147,4837,442332
Jalandhar,PB,2181753,20/12/20,1433553,681370,63396,1496,61864,443735
Darrang,AS,908090,,596783,183724,0,0,0,444964.1
Darbhanga,BR,3921971,11/01/21,1869372,741553,10937,370,10567,448442
Sitamarhi,BR,3419622,31/01/21,1511464,424182,9185,127,9058,453227
Madhepura,BR,1994618,31/01/21,965767,260408,12547,111,12435,455482
Hojai,AS,931218,,602504,274035,0,0,0,456296.82
Supaul,BR,2228397,31/01/21,1069993,369925,17222,129,17093,456511
Buxar,BR,1707643,31/01/21,907374,322555,9248,182,9066,461428
Ramgarh,JH,949159,,522017,185442,13923,197,13714,465087.91
Bareilly,UP,4465344,13/01/21,2221830,749751,44028,377,43650,465209
Bhojpur,BR,2720155,31/01/21,1291186,382719,10210,159,10051,466438
Baksa,AS,953773,,553967,136574,0,0,0,467348.77
Morigaon,AS,957853,,592446,212146,0,0,0,469347.97
Malappuram,KL,4110956,30/12/20,2833303,1103557,567584,2576,562111,469850
Karbi Anglong,AS,965280,,284600,102798,0,0,0,472987.2
Kendujhar,OR,1802777,01/02/21,1087285,376311,20980,175,20798,474504
Kamareddy,TG,972625,,557684,183176,0,0,0,476586.25
Gorakhpur,UP,4436275,31/01/21,2347051,889085,59439,848,58588,480536
Jagtial,TG,983414,,580926,190526,0,0,0,481872.86
Aligarh,UP,3673849,31/01/21,1589498,498586,21280,108,21172,482825
Siddipet,TG,993376,,582450,242462,0,0,0,486754.24
Agra,UP,4380793,31/01/21,2172907,746386,25765,457,25308,491361
Jehanabad,BR,1124176,31/01/21,498448,184446,10783,109,10674,492255
Goalpara,AS,1008959,,662016,195521,0,0,0,494389.91
Baramulla,JK,1015503,,776258,450002,24613,282,24196,497596.47
Panna,MP,1016028,,600823,168120,7331,63,7250,497853.72
Karimnagar,TG,1016063,,657167,384862,0,0,0,497870.87
Nashik,MH,6109052,30/01/21,3471046,1299122,410681,8679,401418,498397
Gumla,JH,1025656,,387738,156364,9900,38,9857,502571.44
Faridabad,HR,1798954,30/01/21,1658940,840997,99902,716,99157,504970
Lakhimpur,AS,1040644,,681386,301369,0,0,0,509915.56
Chatra,JH,1042304,,454807,126700,6033,53,5977,510728.96
Ludhiana,PB,3487882,20/12/20,2473646,943401,87608,2106,85484,514691
Mandla,MP,1053522,,684882,246724,5188,25,5159,516225.78
Golaghat,AS,1058674,,711564,306745,0,0,0,518750.26
Rohtas,BR,2962593,31/01/21,1498172,465660,13980,271,13707,521553
Anantnag,JK,1070144,,759605,402717,16603,205,16378,524370.56
Vizianagaram,AP,2342868,26/11/20,1393491,996097,82967,672,82231,531433
Jorhat,AS,1091295,,649267,297724,0,0,0,534734.55
Siwan,BR,3318176,31/01/21,1670590,684755,15195,170,15025,536438
Suryapet,TG,1099560,,610724,208278,0,0,0,538784.4
East Champaran,BR,5082868,03/11/20,2498559,1002939,19017,430,18585,548132
West Champaran,BR,3935042,31/01/21,1784016,469332,20890,358,20532,551778
