date,daily_confirmed,total_confirmed,daily_deceased,total_deceased,daily_recovered,total_recovered,daily_tested,total_tested,daily_vaccinated1,total_vaccinated1,daily_vaccinated2,total_vaccinated2
5/15/2020,3808,85856,104,2753,2234,30245,100179,2245318,0,0,0,0
5/16/2020,4794,90650,120,2873,4012,34257,105588,2350906,0,0,0,0
5/17/2020,5049,95699,152,3025,2538,36795,118723,2469629,0,0,0,0
5/18/2020,4628,100327,131,3156,2482,39277,108321,2577950,0,0,0,0
5/19/2020,5340,105667,146,3302,3032,42309,116480,2694430,0,0,0,0
5/20/2020,5438,111105,134,3436,3113,45422,118354,2812784,0,0,0,0
5/21/2020,5716,116821,148,3584,3131,48553,122678,2935462,0,0,0,0
5/22/2020,6319,123140,142,3726,3280,51833,125206,3060668,0,0,0,0
5/23/2020,6386,129526,142,3868,2576,54409,127564,3188232,0,0,0,0
5/24/2020,6672,136198,156,4024,3285,57694,130633,3318865,0,0,0,0
5/25/2020,6110,142308,149,4173,3012,60706,118994,3437859,0,0,0,0
5/26/2020,5579,147887,173,4346,3585,64291,106543,3544402,0,0,0,0
5/27/2020,6203,154090,188,4534,3434,67725,117082,3661484,0,0,0,0
5/28/2020,6935,161025,176,4710,3171,70896,135657,3797141,0,0,0,0
5/29/2020,7797,168822,268,4978,11735,82631,161172,3958313,0,0,0,0
